author_name,author_id
Alexander Hauptmann,7661726
Alexander Hauptmann,145788702
Alexander Rudnicky,1783635
Alexander Rudnicky,3156164
Alexander Waibel,2064429921
Alexander Waibel,1724972
Alon Lavie,1784914
Anatole Gershman,145001267
Bhiksha Raj,1681921
Brian MacWhinney,2414040
Carolyn Rosï¿½,35959897
Chenyan Xiong,144628574
Chenyan Xiong,2139787803
Christopher Dyer,2053229833
Daniel Fried,47070750
Daphne Ippolito,7975935
David R Mortensen,3407646
Emma Strubell,2268272
Eric Nyberg,144287919
Eric P. Xing,143977260
Fernando-Diaz,145472333
Florian Metze,1740721
Graham Neubig,1700325
Ian Lane,1765892
Jack Mostow,1695106
Jamie Callan,144987107
Jeffrey Bigham,1744846
Justine Cassell,145431806
Kemal Oflazer,1723120
Lei Li,143900005
Lori S Levin,1686960
Louis-Philippe Morency,49933077
Lu Jiang,39978626
Maarten Sap,2729164
Madhavi Ganapathiraju,32747279
Malihe Alikhani,2715920
Matt Gormley,1762110
Matthias Grabmair,2869551
Michael Mauldin,35497738
Michael Shamos,1890127
Mona Diab,2138579860
Mona Diab,1700007
Monika Woszczyna,2510215
Norman Sadeh,2464164
Raj Reddy,145502114
Ralf Brown,2109449533
Ravi Starzl,5000465
Richard Stern,1697819
Rita Singh,153915824
Robert Frederking,2260563
Rodolfo M Vega,151196614
Roni Rosenfeld,88507334
Scott Fahlman,1758714
Sean Welleck,2129663
Shinji Watanabe,1746678
Taylor Berg-Kirkpatrick,1400419309
Teruko Mitamura,1706595
Thomas Schaaf,145849024
Tom Mitchell,40975594
William Cohen,50056360
Yiming Yang,46286308
Yiming Yang,35729970
Yonatan Bisk,3312309
Yulia Tsvetkov,145317727
Yulia Tsvetkov,2073587169