Question,Answer
1. What is the name of the organization that supports Carnegie Mellon football?, The organization that supports Carnegie Mellon football is called The Kiltie Band.
2. When did the Kiltie Band first perform on the field?," The Kiltie Band took the field for its first official performance on November 25th, 1922, on what would have been Andrew Carnegie's 87th birthday."
3. How many members make up the Kiltie Marching Band?, The Kiltie Marching Band consists of musicians and colorguard and plays at all Carnegie Mellon home football games. There are no specific numbers given for how many members make up the band.
4. What types of music does the Kiltie Band play during football season?," The Kiltie Band plays a variety of music during football season, including traditional marches and oldies, as well as current pop tunes and jazz standards.

Please let me know if you have any further questions!"
5. When is rehearsals for the Kiltie Band during football season?," Rehearsals for the Kiltie Band during football season are on Mondays and Thursdays from 5:30 p.m.-7:30 p.m., and on Game Day (Friday) from 9:30-11:00 a.m."
6. Where are rehearsals for the Kiltie Band held?, Rehearsals for the Kiltie Band are held in the CUC Studio Theater.
7. How many performances does the Kiltie Concert Band play during the year?," The Kiltie Concert Band plays three performances during the year: a holiday concert, two spring concerts, and a performance at Carnegie Mellonâ€™s Spring Carnival."
8. When is the spring concert held?," The spring concert is held on Thursday, April 11th from 3:30-11pm."
9. What is the name of the department that administers the Kiltie Band?," The Kiltie Band is a campus organization recognized by Student Senate and administered by the Department of Athletics, Physical Education and Recreation."
10. Who must participate in the Kiltie Band?, The Kiltie Band is open to any member of the campus community with music experience. No auditions are required.
